Text,Label
I'll send the updated presentation by Friday.,0
Great job on the project presentation!,0
Let's schedule a call next week to discuss.,0
The team dinner is confirmed for Saturday at 7pm.,0
Could you help me with this Python issue?,0
Your package has been delivered to your address.,0
Happy birthday! Hope you have a great day!,0
The conference starts at 9am sharp tomorrow.,0
I've booked the meeting room for 2pm.,0
Can we reschedule our 3pm meeting to 4pm?,0
The code review comments are in the PR.,0
Thanks for the feedback on my draft.,0
I'll be working remotely tomorrow.,0
The client approved the final design.,0
Let me know if you need any clarification.,0
I've updated the documentation as requested.,0
The server maintenance is scheduled for Sunday.,0
Your flight is confirmed for next Monday.,0
I found that article you were looking for.,0
The gym membership renewal is due next month.,0
Can you review the pull request when you get a chance?,0
The deadline for the project is next Friday.,0
I'll pick up the kids from school today.,0
The budget meeting has been moved to Thursday.,0
Your dental appointment is on Tuesday at 10am.,0
The new hire starts next week Monday.,0
I've sent you the meeting notes.,0
Can we discuss the timeline in our next call?,0
The weather looks good for the picnic this weekend.,0
Your prescription is ready for pickup.,0
I finished reading that book you recommended.,0
The team building event is next month.,0
Can you check if the server is running?,0
I'll bring the dessert to the party.,0
The kids enjoyed the museum trip.,0
Your annual review is scheduled for next week.,0
I've forwarded the email thread to you.,0
"The coffee machine is broken, using the spare.",0
Can you water my plants while I'm away?,0
The presentation went really well!,0
I've attached the requested invoice.,0
Your library books are due next Tuesday.,0
The traffic was terrible this morning.,0
I'll send the agenda before the meeting.,0
Your haircut appointment is tomorrow at 2pm.,0
The concert was amazing last night!,0
Can you bring your laptop to the meeting?,0
I've updated my calendar with the new dates.,0
The printer is out of paper.,0
Your car service appointment is confirmed.,0
I'll grab lunch from the cafeteria.,0
The new software update is available.,0
Can you share the WiFi password?,0
Your doctor called to confirm the appointment.,0
I've completed the training module.,0
The game starts at 7pm tonight.,0
Can you forward me that email?,0
Your subscription renewal notice arrived.,0
I'll call you back in 10 minutes.,0
The restaurant reservation is for 8pm.,0
Can you help me set up the projector?,0
Your passport renewal is due next month.,0
I've added you to the group chat.,0
The office will be closed on Monday.,0
Can you check the printer settings?,0
Your insurance claim has been processed.,0
I'll drop off the documents tomorrow.,0
The workshop registration is open.,0
Can you save me a seat?,0
Your tax documents are in the folder.,0
I've shared the Google doc with you.,0
The bus arrives in 15 minutes.,0
Can you remind me about the deadline?,0
Your magazine subscription is expiring.,0
I'll meet you at the entrance.,0
The parking permit expires next week.,0
Can you check the meeting room availability?,0
Your utility bill payment is due.,0
I've updated the project timeline.,0
The seminar was very informative.,0
Can you help me debug this code?,0
Your pet's vet appointment is Thursday.,0
I'll send the photos from the event.,0
The battery backup is working now.,0
Can you share the presentation slides?,0
Your membership card is in the mail.,0
I've reviewed the contract terms.,0
The elevator is under maintenance.,0
Can you join the Zoom call?,0
Your package should arrive by Wednesday.,0
I'll finish the report by end of day.,0
The team lunch is at noon.,0
Can you update the spreadsheet?,0
Your class reunion is next month.,0
I've fixed the bug in the code.,0
The building will be locked after 6pm.,0
